Color,Crash,Day,Hour,Minute,Second
1,3.18,21,11,35,36
0,1.06,21,11,35,6
1,2.3,21,11,34,56
1,746.0,21,11,34,31
1,14.2,21,11,32,30
0,1.16,21,11,31,35
0,1.33,21,11,31,25
1,3.23,21,11,31,10
0,1.28,21,11,30,40
1,2.02,21,11,30,25
0,1.67,21,11,30,5
1,3.29,21,11,29,45
0,1.01,21,11,29,15
0,1.14,21,11,29,5
0,1.25,21,11,28,55
1,3.37,21,11,28,40
1,5.28,21,11,28,10
0,1.8,21,11,27,30
1,27.1,21,11,27,10
0,1.0,21,11,26,5
0,1.61,21,11,25,55
0,1.23,21,11,25,40
0,1.59,21,11,25,25
1,2.43,21,11,25,5
0,1.0,21,11,24,40
1,3.25,21,11,24,30
0,1.7,21,11,24,5
0,1.49,21,11,23,45
0,1.17,21,11,23,25
0,1.59,21,11,23,15
0,1.64,21,11,22,55
1,2.18,21,11,22,40
1,2.08,21,11,22,15
0,1.0,21,11,21,55
1,33.7,21,11,21,45
0,1.1,21,11,20,35
1,64.7,21,11,20,25
1,2.92,21,11,19,5
1,5.24,21,11,18,35
0,1.25,21,11,18,0
1,5.26,21,11,17,45
0,1.0,21,11,17,5
1,3.41,21,11,16,55
1,4.13,21,11,16,25
1,6.74,21,11,15,55
1,17.5,21,11,15,10
0,1.48,21,11,14,15
1,5.19,21,11,13,55
0,1.31,21,11,13,20
1,3.24,21,11,13,5
1,77.8,21,11,12,35
0,1.76,21,11,11,15
1,9.58,21,11,10,55
1,2.27,21,11,10,4
0,1.0,21,11,9,39
1,3.55,21,11,9,29
0,1.85,21,11,8,59
0,1.89,21,11,8,39
1,58.7,21,11,8,19
0,1.26,21,11,6,59
0,1.41,21,11,6,49
0,1.02,21,11,6,29
0,1.35,21,11,6,19
0,1.68,21,11,6,4
0,1.27,21,11,5,49
1,3.62,21,11,5,34
1,2.09,21,11,5,4
1,9.85,21,11,4,39
0,1.33,21,11,3,54
1,3.13,21,11,3,39
0,1.21,21,11,3,9
1,2.17,21,11,2,54
0,1.67,21,11,2,34
0,1.35,21,11,2,14
0,1.1,21,11,1,59
1,2.96,21,11,1,44
0,1.93,21,11,1,19
0,1.81,21,11,0,59
1,3.68,21,11,0,39
1,808.0,21,11,0,4
1,12.2,21,10,57,59
0,1.02,21,10,57,9
1,2.32,21,10,56,59
1,3.45,21,10,56,34
1,2.45,21,10,56,4
1,2.57,21,10,55,39
1,4.38,21,10,55,14
1,2.35,21,10,54,39
0,1.32,21,10,54,14
0,1.27,21,10,53,59
1,2.06,21,10,53,44
1,2.45,21,10,53,24
0,1.25,21,10,52,59
0,1.01,21,10,52,44
1,2.77,21,10,52,34
0,1.74,21,10,52,9
0,1.0,21,10,51,49
1,7.82,21,10,51,39
1,2.21,21,10,50,54
1,2.48,21,10,50,29
0,1.01,21,10,50,4
1,4.46,21,10,49,53
1,2.74,21,10,49,18
0,1.76,21,10,48,53
0,1.12,21,10,48,33
1,11.1,21,10,48,23
0,1.64,21,10,47,33
0,1.86,21,10,47,13
0,1.32,21,10,46,53
1,6.77,21,10,46,38
1,3.15,21,10,45,58
0,1.43,21,10,45,28
1,2.25,21,10,45,13
1,2.06,21,10,44,48
0,1.0,21,10,44,28
1,2.2,21,10,44,18
0,1.24,21,10,43,53
0,1.51,21,10,43,38
0,1.24,21,10,43,23
0,1.41,21,10,43,8
1,45.5,21,10,42,53
0,1.49,21,10,41,38
0,1.39,21,10,41,23
1,3.03,21,10,41,3
1,2.44,21,10,40,38
0,1.6,21,10,40,13
0,1.11,21,10,39,53
1,2.55,21,10,39,43
