Color,Crash,Day,Hour,Minute,Second
0,1.94,30,23,59,42
1,6.69,30,23,59,22
0,1.36,30,23,58,42
1,2.61,30,23,58,27
1,8.9,30,23,58,2
0,1.0,30,23,57,12
1,4.28,30,23,57,2
1,2.21,30,23,56,32
0,1.22,30,23,56,7
1,5.35,30,23,55,52
0,1.56,30,23,55,17
1,2.71,30,23,54,57
0,1.0,30,23,54,37
1,3.27,30,23,54,22
0,1.21,30,23,53,52
1,2.67,30,23,53,37
1,7.43,30,23,53,12
0,1.76,30,23,52,32
0,1.42,30,23,52,8
1,2.14,30,23,51,52
0,1.02,30,23,51,37
0,1.42,30,23,51,22
0,1.71,30,23,51,2
0,1.0,30,23,50,52
1,8.25,30,23,50,37
1,2.75,30,23,49,52
1,5.0,30,23,49,22
0,1.05,30,23,48,47
1,2.09,30,23,48,37
1,4.55,30,23,48,12
0,1.49,30,23,47,37
0,1.44,30,23,47,22
0,1.59,30,23,47,8
1,3.42,30,23,46,47
1,12.4,30,23,46,17
1,2.91,30,23,45,27
0,1.8,30,23,44,57
1,22.7,30,23,44,37
1,4.71,30,23,43,37
0,1.7,30,23,42,57
1,4.5,30,23,42,47
0,1.89,30,23,42,7
0,1.11,30,23,41,47
1,4.99,30,23,41,32
0,1.4,30,23,40,57
1,2.47,30,23,40,42
0,1.42,30,23,40,17
1,3.08,30,23,40,2
0,1.0,30,23,39,33
1,2.94,30,23,39,22
0,1.36,30,23,38,51
0,1.34,30,23,38,36
0,1.54,30,23,38,21
0,1.25,30,23,38,6
1,3.17,30,23,37,51
0,1.08,30,23,37,21
1,2.37,30,23,37,11
1,2.77,30,23,36,46
0,1.46,30,23,36,21
1,3.08,30,23,36,1
0,1.78,30,23,35,36
1,2.01,30,23,35,16
0,1.36,30,23,34,51
0,1.01,30,23,34,36
0,1.49,30,23,34,26
1,2.33,30,23,34,11
0,1.47,30,23,33,46
1,3.68,30,23,33,31
0,1.51,30,23,32,56
1,2.79,30,23,32,41
0,1.67,30,23,32,16
1,2.15,30,23,31,56
1,3.14,30,23,31,31
0,1.11,30,23,31,6
1,47.8,30,23,30,51
1,2.48,30,23,29,36
1,2.01,30,23,29,11
1,3.93,30,23,28,51
0,1.0,30,23,28,16
0,1.34,30,23,28,6
1,4.42,30,23,27,51
1,2.07,30,23,27,16
0,1.12,30,23,26,56
0,1.23,30,23,26,46
1,3.23,30,23,26,31
0,1.85,30,23,26,1
0,1.66,30,23,25,41
0,1.25,30,23,25,21
0,1.0,30,23,25,11
0,1.13,30,23,25,1
0,1.31,30,23,24,46
0,1.01,30,23,24,31
0,1.45,30,23,24,21
1,2.61,30,23,24,6
0,1.29,30,23,23,41
1,11.7,30,23,23,26
0,1.0,30,23,22,36
0,1.0,30,23,22,26
0,1.98,30,23,22,16
1,4.61,30,23,21,51
0,1.74,30,23,21,16
1,3.39,30,23,20,56
1,2.49,30,23,20,26
0,1.7,30,23,20,1
0,1.29,30,23,19,46
1,12.7,30,23,19,31
1,2.49,30,23,18,35
0,1.09,30,23,18,10
0,1.87,30,23,18,1
0,1.82,30,23,17,40
1,4.27,30,23,17,21
1,10.6,30,23,16,45
1,28.6,30,23,15,55
1,23.2,30,23,14,50
1,20.0,30,23,13,45
0,1.21,30,23,12,45
1,3.53,30,23,12,35
1,6.6,30,23,12,10
0,1.51,30,23,11,20
0,1.5,30,23,11,5
0,1.9,30,23,10,50
0,1.99,30,23,10,25
1,16.1,30,23,10,5
1,3.12,30,23,9,10
1,10.1,30,23,8,40
0,1.56,30,23,7,50
0,1.89,30,23,7,35
1,4.51,30,23,7,15
1,2.04,30,23,6,40
1,2.74,30,23,6,15
1,7.27,30,23,5,50
1,23.0,30,23,5,5
1,3.24,30,23,4,5
1,6.15,30,23,3,35
0,1.5,30,23,3,0
0,1.65,30,23,2,41
1,2.21,30,23,2,20
0,1.39,30,23,1,55
0,1.4,30,23,1,40
0,1.48,30,23,1,25
0,1.24,30,23,1,10
1,2.83,30,23,0,55
1,3.75,30,23,0,30
0,1.57,30,22,59,55
0,1.21,30,22,59,40
0,1.02,30,22,59,25
0,1.69,30,22,59,15
1,6.91,30,22,58,55
0,1.6,30,22,58,14
1,4.07,30,22,57,54
0,1.77,30,22,57,24
1,2.23,30,22,57,4
0,1.03,30,22,56,39
1,6.33,30,22,56,29
0,1.55,30,22,55,49
1,2.19,30,22,55,29
1,5.08,30,22,55,9
0,1.7,30,22,54,29
0,1.79,30,22,54,9
0,1.32,30,22,53,49
0,1.33,30,22,53,39
0,1.01,30,22,53,24
0,1.71,30,22,53,14
1,4.33,30,22,52,54
1,4.04,30,22,52,19
0,1.76,30,22,51,44
0,1.59,30,22,51,24
1,3.8,30,22,51,9
0,1.33,30,22,50,34
1,2.59,30,22,50,19
1,3.3,30,22,49,54
0,1.46,30,22,49,24
1,3.14,30,22,49,9
0,1.51,30,22,48,39
1,6.29,30,22,48,24
1,2.5,30,22,47,44
1,2.55,30,22,47,19
0,1.37,30,22,46,49
1,3.08,30,22,46,34
0,1.07,30,22,46,9
1,4.6,30,22,45,54
1,8.11,30,22,45,19
0,1.04,30,22,44,34
1,2.25,30,22,44,24
0,1.06,30,22,44,4
1,4.67,30,22,43,49
1,6.13,30,22,43,14
1,3.7,30,22,42,34
1,70.5,30,22,41,59
0,1.0,30,22,40,39
1,4.18,30,22,40,29
0,1.65,30,22,39,54
1,4.75,30,22,39,34
1,4.81,30,22,38,59
0,1.0,30,22,38,24
1,2.6,30,22,38,14
1,200.0,30,22,37,43
1,8.74,30,22,36,8
1,4.56,30,22,35,18
